,norm,formal,subjektif,posneg
26,vaksin ini bebas biaya alias gratis tinggal klik tombol bebas biaya untuk selesaikan pemesanan,vaksin ini bebas biaya alias gratis tinggal klik tombol bebas biaya untuk selesai mesan,0.0,1.0
28,saya jg divaksin az kata dokternya untuk vaksin kedua bebas mau dimana aja asalkan sudah bulan jedanya kalo kurang dr itu ga boleh,saya juga vaksin az kata dokter untuk vaksin dua bebas mau mana saja asal sudah bulan jeda kalo kurang dari itu enggak boleh,0.0,0.0
29,tudei vaksin tapi mager sekali untuk bergegas,tudei vaksin tapi mager sekali untuk gegas,0.0,0.0
30,gak usah pilih pilih vaksin gas dulu aja apa yang ada penting terlindungi dulu toh gak tahu kapan az akan ada lagi,enggak usah pilih pilih vaksin gas dulu saja apa yang ada penting lindung dulu toh enggak tahu kapan az akan ada lagi,1.0,0.0
32,singapura mencemaskan laporan yang datang dari negara lain tentang orangorang yang masih bisa terinfeksi dan sakit bahkan setelah menerima vaksin sinovac satu laporan yang dicupliknya merujuk ke indonesia,singapura cemas lapor yang datang dari negara lain tentang orangorang yang masih bisa infeksi dan sakit bahkan telah terima vaksin sinovac satu lapor yang cuplik rujuk ke indonesia,0.0,0.0
34,kalo ada yg tanya vaksin mana yang bagus tanyakan pada ahlinya amp,kalo ada yang tanya vaksin mana yang bagus tanya pada ahli amp,1.0,0.0
35,hari ini mau vaksin doain gengs,hari ini mau vaksin doain gengs,0.0,0.0
36,banyak berita miring mengenai vaksin ini saya jadi takut,banyak berita miring kena vaksin ini saya jadi takut,1.0,-1.0
37,bpom resmikan vaksin sinovac untuk usia tahun jokowi segera lakukan vaksinasi anak,bpom resmi vaksin sinovac untuk usia tahun jokowi segera laku vaksinasi anak,0.0,0.0
38,hhhhhhhh boleh ndak semua kader dan pengurus partai ini tdk vaksin dan kl sakit covid tdk perlu ke rs,hhhhhhhh boleh indak semua kader dan urus partai ini tidak vaksin dan kalo sakit covid tidak perlu ke rs,1.0,0.0
40,mau vaksin malah demam,mau vaksin malah demam,0.0,0.0
41,review vaksin az hari kedua ga ada bedanya sama hari pertama di bekas suntikan aja yg sakit tapi ga sampe ganggu aktivitas,review vaksin az hari dua enggak ada beda sama hari pertama di bekas sunti saja yang sakit tapi enggak sampai ganggu aktivitas,0.0,1.0
42,pen sedikit cerite jadi hari sabtu tu aku di suruh vaksin terus setelah vakin reaksi nye tu langsung tanggan kebassmuallalu mlm nye meriang sampai subuhpanas tinggi besok nye gitu lagi meriang panas tinggi mualvaksin huhhh tidak lagiii,pengin sedikit cerite jadi hari sabtu itu aku di suruh vaksin terus telah vakin reaksi nye itu langsung tanggan kebassmuallalu malam nye meriang sampai subuhpanas tinggi besok nye begitu lagi meriang panas tinggi mualvaksin huhhh tidak lagi,0.0,-1.0
43,jokowi menyebut vaksinasi untuk usia tahun bisa segera dimulai menkes menyebut ada dua vaksin yang bisa digunakan pada anak dan remaja,jokowi sebut vaksinasi untuk usia tahun bisa segera mulai menkes sebut ada dua vaksin yang bisa guna pada anak dan remaja,0.0,0.0
44,gua takut deh vaksin bikin jadi zombie,gua takut deh vaksin bikin jadi zombie,0.0,-1.0
46,kalau setau aku yang kaya gitu biasanya ada penyakit bawaannya makanya harus cek kondisi tubuh dulu sebelum vaksin cmiiw,kalau tau aku yang kayak begitu biasa ada sakit bawa makanya harus cek kondisi tubuh dulu belum vaksin cmiiw,1.0,0.0
47,wait mo vaksin dluu,wait mau vaksin dluu,0.0,0.0
49,jadi totalnya dapet panggilan vaksin,jadi total dapat panggil vaksin,0.0,0.0
50,eyy akhirnya vaksin,eyy akhir vaksin,0.0,1.0
51,si badut yg nanyain ke semua orang boleh ga mandi habis vaksin soalnya inget kucing kalo habis vaksin ga boleh mandi,sih badut yang nanyain ke semua orang boleh enggak mandi habis vaksin soal ingat kucing kalo habis vaksin enggak boleh mandi,0.0,0.0
52,jadi keinget screening vaksin keemarin a dok saya punya asma reaksi tubuh saya kalo vaksin gimana d teteh lagi hamil juga berapa bulan wahh ngajaakk guyon ni dokter,jadi ingat screening vaksin keemarin a dok saya punya asma reaksi tubuh saya kalo vaksin bagaimana di teteh lagi hamil juga berapa bulan wah ngajaakk guyon ini dokter,0.0,0.0
54,semangat vaksin fathan doa nya stay healthy,semangat vaksin fathan doa nya stay healthy,0.0,0.0
56,bisa ga si kalo ga di vaksin takut bgt woi,bisa enggak sih kalo enggak di vaksin takut banget woi,0.0,-1.0
58,mjb aku waktu vaksin dosis pertama lagi sakit juga nah ntar kan diperiksa dokter dulu sebelum disuntik jadi diomongin dulu lagi sakit apa dan kalo menurut dokter gapapa ya gas aja lah,mjb aku waktu vaksin dosis pertama lagi sakit juga nah entar kan periksa dokter dulu belum suntik jadi diomongin dulu lagi sakit apa dan kalo turut dokter gapapa ya gas saja lah,0.0,0.0
59,ga nder kalau disuntik vaksin kayaknya sih kemungkinan besar jadi titan jangan tanya sumbernya ya ini kata aku doang soalnya,enggak nder kalau suntik vaksin kayak sih mungkin besar jadi titan jangan tanya sumber ya ini kata aku doang soal,1.0,0.0
60,hari ini rencana vaksin tapi gue begadang mulu ini gk dulu deh,hari ini rencana vaksin tapi gue begadang mulu ini enggak dulu deh,0.0,0.0
64,banyak banget alesannya pas ditanya kenapa intinya mah mereka ada yg kaum takut sama vaksin dan ada yg kaum ga percaya covid tapi harus jalanin kerjaan tapi mereka berdalih kesehatan ngomongnya tensinya tinggi lah kolestrolnya tinggi lah inilah itulah pdhl ada screening dl,banyak banget alesannya pas tanya kenapa inti mah mereka ada yang kaum takut sama vaksin dan ada yang kaum enggak percaya covid tapi harus jalan kerja tapi mereka dalih sehat omong tensi tinggi lah kolestrolnya tinggi lah ini itu padahal ada screening dulu,1.0,0.0
65,setelah vaksin,telah vaksin,0.0,0.0
68,huft coba kalau aku ga percaya urusan kopid dan vaksin bisa panjang itu cerita sampe berujung di warkop bukan di rsud,huft coba kalau aku enggak percaya urus kopid dan vaksin bisa panjang itu cerita sampai ujung di warung kopi bukan di rsud,1.0,-1.0
69,trus karena aku cerdas beriman dan bertaqwa yah aku jelasin aja kalau vaksin mah sebagai bentuk perlindungan diri aja kalau ada virus masuk antibodi jadi mudah mengenal itu virus gitu jadi mau sebagus apa pun vaksinnya kalau tubuhnya ga sehat walafiat ya bakalan ga berguna,terus karena aku cerdas iman dan bertaqwa ya aku jelasin saja kalau vaksin mah bagai bentuk lindung diri saja kalau ada virus masuk antibodi jadi mudah kenal itu virus begitu jadi mau bagus apa pun vaksin kalau tubuh enggak sehat walafiat ya bakal enggak guna,1.0,1.0
70,tetiba masnya bilang kalau doi udh divaksin kali sebelum puasa katanya tapi dia mempertanyakan kok sudah vaksin masih bisa tetep kena covid padahal udh vaksin kali malah it seems kaya meragukan vaksin gitu lah ya wak,tetiba mas bilang kalau doi sudah vaksin kali belum puasa kata tapi dia tanya kok sudah vaksin masih bisa tetap kena covid padahal sudah vaksin kali malah itu seems kayak ragu vaksin begitu lah ya wak,1.0,0.0
71,just wan na share a short story this morning jadi pagi ini tuh ada jadwal vaksin di salah satu rsud jakarta trus aku ke sana pake ojol lalu mas ojolnya nanya kalau aku kerja di sana ya lalu aku jawab cuma mau vaksin aja mas gitu,just wan nya share a short story this morning jadi pagi ini tuh ada jadwal vaksin di salah satu rsud jakarta terus aku ke sana pakai ojol lalu mas ojolnya tanya kalau aku kerja di sana ya lalu aku jawab cuma mau vaksin saja mas begitu,0.0,0.0
72,pgn vaksin tp takut bgt sm jarum suntik,pengin vaksin tapi takut banget sama jarum suntik,0.0,-1.0
73,selamat pagi semua selamat vaksin untukku,selamat pagi semua selamat vaksin untuk,0.0,1.0
74,daftar dan segera vaksin ya,daftar dan segera vaksin ya,0.0,1.0
75,temen yg vaksin kemarin pada demam menggigil sekarang,teman yang vaksin kemarin pada demam gigil sekarang,0.0,-1.0
77,pada kolom search bar di bagian atas ketik vaksin klik,pada kolom search bar di bagi atas ketik vaksin klik,0.0,0.0
78,mjb aku udah vaksin dosis pertama dan efek sampingnya cuma demam sehari abis itu normal lagi,mjb aku sudah vaksin dosis pertama dan efek samping cuma demam hari habis itu normal lagi,1.0,1.0
79,percepatan vaksinasi mendesak ketua dpp pks sebut kantornya siap jadi tempat pemberian vaksin,cepat vaksinasi desak ketua dpp pks sebut kantor siap jadi tempat beri vaksin,0.0,0.0
80,mau cerita aja di sini vaccination rate nya juga gak amat bisa dibilang woles temen ada yg besok yes literally besok balik ke indo dan tentu blm vaksin degdegan begitu pulang langsung bisa vaksinasi di rumah ya,mau cerita saja di sini vaccination rate nya juga enggak amat bisa bilang selow teman ada yang besok yes literally besok balik ke indonesia dan tentu belum vaksin degdegan begitu pulang langsung bisa vaksinasi di rumah ya,0.0,0.0
81,saran pak presiden buat yg mau diberi vaksin agar melakukan test terlebih dahulu jika negatif baru di vaksin banyak meredar di lapangan ada bbrp kasus ada otg yg dtg utk vaksin dan baru terkonfirmasi positif hr nya,saran pak presiden buat yang mau beri vaksin agar laku test lebih dahulu jika negatif baru di vaksin banyak meredar di lapang ada beberapa kasus ada otg yang datang untuk vaksin dan baru konfirmasi positif hari nya,1.0,0.0
82,dan gw pun sudah atur waktu buat beliau security tempat gw kerja vaksin jumat kemarin tgl juni tp ternyata tgl juni sudah reaktif covid duluan jd mau ga mau harus di tunda lagi karena harus isoman sampai akhir nya kemarin sore di kabarin klo kondisi nya makin memburuk,dan gue pun sudah atur waktu buat beliau security tempat gue kerja vaksin jumat kemarin tanggal juni tapi nyata tanggal juni sudah reaktif covid duluan jadi mau enggak mau harus di tunda lagi karena harus isoman sampai akhir nya kemarin sore di kabarin kalo kondisi nya makin buruk,0.0,0.0
83,innanillahi wainnaillaihirajiun baru kali ini ngrasain orang di sekitar ada yg harus berpulang ke rahmatulloh karena covid pdhal sabtu tgl juni kemarin pergi bareng ke kosambi untuk vaksin covid ternyata sampai sana antrian sudah penuh alhasil mau ga mau harus di tunda,innanillahi wainnaillaihirajiun baru kali ini rasai orang di sekitar ada yang harus pulang ke rahmatulloh karena covid padahal sabtu tanggal juni kemarin pergi bareng ke kosambi untuk vaksin covid nyata sampai sana antri sudah penuh alhasil mau enggak mau harus di tunda,0.0,0.0
84,ayukkk vaksin,ayukkk vaksin,1.0,1.0
85,btw setelah hari sakit ditambah after effect vaksin yang bikin kepala aing berasa ditarik hari ini gue merasa sangat baikbaik saja sehingga gue akan kamar karena udah hari ga kamar,btw telah hari sakit tambah after effect vaksin yang bikin kepala aing asa tarik hari ini gue rasa sangat baikbaik saja sehingga gue akan kamar karena sudah hari enggak kamar,0.0,-1.0
86,aku vaksin kayaknya tergantung jenis nya,aku vaksin kayak gantung jenis nya,1.0,0.0
88,gak vaksin sama dengan ga kerja lagi peraturan serem amat sekarang badan lagi drop gini mana bisa di vaksin,enggak vaksin sama dengan enggak kerja lagi atur seram amat sekarang badan lagi drop begini mana bisa di vaksin,0.0,-1.0
89,semarang bobrok banget asli dari qpril dah daftar vaksin sampe sekarang belum dapet jadwal data sempet hilang si web bisa hapus data punya orang aneh banget,semarang bobrok banget asli dari qpril deh daftar vaksin sampai sekarang belum dapat jadwal data sempat hilang sih web bisa hapus data punya orang aneh banget,0.0,-1.0
90,saya dpt sudah lama yg di tetes di hidung dan mulut dari angkatan darat tp bukan vaksinkenapa sy mau mandiri selaian takut sama sinovac dan juga moderna kalau keluar negri diterima,saya dapat sudah lama yang di tetes di hidung dan mulut dari angkat darat tapi bukan vaksinkenapa saya mau mandiri selai takut sama sinovac dan juga moderna kalau keluar negeri terima,1.0,0.0
91,wkwkbaca brita bre kan emang bener pda gmau di vaksinkan udah ada buktinya pnonton euro itu vaksinasi dan cakupannya stidaknya sudah skitar minimal artinya betul menekan penularanjd itu bukti sebenarnya driherd immunityvaksin itu yg ingin kita capai bersama bukan,wkwkbaca berita bre kan memang benar pada enggak mau di vaksin sudah ada bukti pnonton euro itu vaksinasi dan cakup tidak sudah sekitar minimal arti betul tekan penularanjd itu bukti benar driherd immunityvaksin itu yang ingin kita capai sama bukan,0.0,1.0
92,kepala gua berat bgt abis vaksin ya allah,kepala gua berat banget habis vaksin ya allah,0.0,-1.0
93,lagi vaksin aing dho tar sih,lagi vaksin aing dho entar sih,0.0,0.0
94,walaupun baru mulai dan cuma sedikit semoga bisa bantu karena vaksin yg akan dihibahkan adalah dari pfizer moderna dan johnsonamp yg sangat efektif ayovaksin pakaimasker jagajarak cucitangan,walaupun baru mulai dan cuma sedikit moga bisa bantu karena vaksin yang akan hibah adalah dari pfizer moderna dan johnsonamp yang sangat efektif ayovaksin pakaimasker jagajarak cucitangan,1.0,1.0
97,mulai ada wacana vaksin dosis ketiga tapi belum vaksin,mulai ada wacana vaksin dosis tiga tapi belum vaksin,0.0,0.0
98,wakakak banyak orang yg lumpuh atau rusak organ tubuhnya setelah vaksin tak sedikit mati lebih cepat setelah vaksin yg ga vaksin kena denda atau pidana ga dapet hak tunjangan yg mati kaya bangke ga boleh di mandiin atau di sholatin tau tau organ tubuh ada yg ilang,wakakak banyak orang yang lumpuh atau rusak organ tubuh telah vaksin tak sedikit mati lebih cepat telah vaksin yang enggak vaksin kena denda atau pidana enggak dapat hak tunjang yang mati kayak bangkai enggak boleh di mandi atau di sholatin tau tau organ tubuh ada yang hilang,1.0,-1.0
99,kok gue degdegan gue gk takut vaksin cuma takut jarum suntik nya,kok gue degdegan gue enggak takut vaksin cuma takut jarum suntik nya,0.0,-1.0
100,mau vaksin tapi di kuota per kelurahan jadi gak pernah dapettt,mau vaksin tapi di kuota per lurah jadi enggak pernah dapettt,1.0,0.0
101,kpn lg jam segini diriku suda di sudimara klo bkn karna vaksin,kapan lagi jam gin diri sudah di sudimara kalo bukan karena vaksin,0.0,1.0
102,lebay gak benar vaksin,lebay enggak benar vaksin,1.0,0.0
103,aku masih belum boleh vaksin soalnya abis kena covid nunggu bulan dulu ayo dillaaa semangat vaksin teriak aja gpp pas disuntik hahaha,aku masih belum boleh vaksin soal habis kena covid tunggu bulan dulu ayo dillaaa semangat vaksin teriak saja enggak apa pas suntik hahaha,0.0,1.0
104,aku udah vaksin dosis pertama efeknya cuma demam bentar jadi santuy aja nakes juga gakan sembarangan nyuntikin sesuatu yang gajelas ke tubuh kita,aku sudah vaksin dosis pertama efek cuma demam bentar jadi santuy saja nakes juga gakan sembarang nyuntikin sesuatu yang enggak jelas ke tubuh kita,0.0,1.0
106,ngga fatal gimana lah wong banyak yg meninggal kena covid setelah vaksin,enggak fatal bagaimana lah wong banyak yang tinggal kena covid telah vaksin,1.0,-1.0
109,vaksin kesan ny kya maksa amat yaakya wajib gtuapa vaksin itu pngganti rukun islam yg ke ya krna hija ny di tiadakn,vaksin kesan nya kaya maksa amat yaakya wajib gtuapa vaksin itu pngganti rukun islam yang ke ya karena hija nya di tiadakn,1.0,-1.0
110,sayangnya gw tetep ga bisa nerima vaksin pdhl mau bgt plsss,sayang gue tetap enggak bisa terima vaksin padahal mau banget plsss,0.0,1.0
111,sama kak adek aku jg bandel banget di bilangin suruh vaksin gak mau kata nya aku ki dudu ayam mbak moso di vaksin pengen tak hiihh pdhl dia masih kluyuran ngalor ngidul,sama kak adek aku juga bandel banget di bilang suruh vaksin enggak mau kata nya aku ki dudu ayam mbak moso di vaksin pengin tak hiihh padahal dia masih kluyuran ngalor ngidul,0.0,-1.0
112,pengen sekarang di vaksin nya mumpung libur kalau sakit ga ganggu pelajaran,pengin sekarang di vaksin nya mumpung libur kalau sakit enggak ganggu ajar,0.0,-1.0
113,sejumlah tka tidak diberikan vaksin oleh petugas karena satu alasan,jumlah tka tidak beri vaksin oleh tugas karena satu alas,0.0,0.0
114,vaksin baru kemarin masuk berita karena tembus eh malah merosot lg,vaksin baru kemarin masuk berita karena tembus eh malah merosot lagi,0.0,0.0
116,hihii iyaa nihh lg info soalnya udh pd full semua daftar vaksin di tempat yg aku tauu sekalian sehatin badan juga krn org rumah lg pd flu untung swab negatif,hihii iya nih lagi info soal sudah pada full semua daftar vaksin di tempat yang aku tau sekali sehatin badan juga karena orang rumah lagi pada flu untung swab negatif,0.0,1.0
117,vaksin semua dah tapi still sama,vaksin semua deh tapi still sama,1.0,0.0
118,nas daftar vaksin di kariadi aku berhasil tapi harus sabar amp pantang menyerah rajin direfresh,nas daftar vaksin di kariadi aku hasil tapi harus sabar amp pantang serah rajin direfresh,0.0,1.0
119,iyaa kasihan yaa kalo di sini kebanyakan org tua takut di vaksin karna kemakan berita berita di tv kaya gitu semua abisnya,iya kasihan ya kalo di sini banyak orang tua takut di vaksin karena makan berita berita di tv kayak begitu semua abis,1.0,-1.0
120,bang sebentar lagi mantan menkes yaitu bpk terawan sedang melakukan uji klinis saya bukan anti vaksin tapi saya kurang percaya dengan vaksin infor saya lebih seneng dengan produk dalam negri semoga vaksin nusantara milik anak bangsa bisa goals,bang sebentar lagi mantan menkes yaitu bpk awan sedang laku uji klinis saya bukan anti vaksin tapi saya kurang percaya dengan vaksin infor saya lebih senang dengan produk dalam negeri moga vaksin nusantara milik anak bangsa bisa goals,1.0,1.0
122,ga seserem itu nder vaksin tuhh ayah ibuku udah di vaksin efek sampingnya cuman ngantuk sm pegel tangan biasa jdi jgn khawatir yaaa,enggak rem itu nder vaksin tuh ayah ibu sudah di vaksin efek samping cuman ngantuk sama gel tangan biasa jadi jangan khawatir ya,0.0,1.0
123,minum vitamin udah makan banyak ini yang gatau kenapa semenjak abis vaksin malah nafsu makan berkurang padahal katanya sinovac bikin nafsu makan naik,minum vitamin sudah makan banyak ini yang enggak tau kenapa semenjak habis vaksin malah nafsu makan kurang padahal kata sinovac bikin nafsu makan naik,0.0,-1.0
124,manteman di jakarta ada kabar gembira buat kamu yang belum vaksin tiketdotcom adakan layanan vaksin gratis gimana cara daftarnya a thread,manteman di jakarta ada kabar gembira buat kamu yang belum vaksin tiketdotcom adakan layan vaksin gratis bagaimana cara daftar a thread,0.0,0.0
125,vaksin itu blum tentu tidak bisa kena ya amit jabang bayi jangan smpe ak dan keluarga kena beberapa hari temennya temen kerja aku udah divaksin sinovac kali dan blom ada seminggu ini dia udh positif,vaksin itu belum tentu tidak bisa kena ya amit jabang bayi jangan sampai aku dan keluarga kena beberapa hari teman teman kerja aku sudah vaksin sinovac kali dan belum ada minggu ini dia sudah positif,0.0,-1.0
126,pemerintah menyediakan laman yang membantu masyarakat mengidentifikasi hoaks,perintah sedia laman yang bantu masyarakat identifikasi hoaks,0.0,0.0
127,singapura ragukan vaksin sinovac kasus di indonesia jadi rujukan,singapura ragu vaksin sinovac kasus di indonesia jadi rujuk,0.0,-1.0
128,semoga gue yg sakit udh pada sembuh biar yg megang kerjaan banyak biar hari ini gausa lembur ya tolong besok mau vaksin,moga gue yang sakit sudah pada sembuh biar yang pegang kerja banyak biar hari ini enggak usah lembur ya tolong besok mau vaksin,1.0,0.0
129,info update yang belum melaksanakan vaksin silahkan datang syarat nya hanya membawa ktp ktp manapun hari rabu tanggal juni jam wib sd selesai lokasi balai prajurit lantamal v surabaya balai prajurit lantamal v,info update yang belum laksana vaksin sila datang syarat nya hanya bawa ktp ktp mana hari rabu tanggal juni jam wib sd selesai lokasi balai prajurit lantamal v surabaya balai prajurit lantamal v,0.0,0.0
130,aku kemarin vaksin emang sempet sakit bentar tapi sakitnya cuma demampusing kok aku bawa ke dokter itu katanya karena vaksinnya bekerja jadi amaan,aku kemarin vaksin memang sempat sakit bentar tapi sakit cuma demampusing kok aku bawa ke dokter itu kata karena vaksin kerja jadi ama,0.0,-1.0
132,saya sih mending nunggu vaksin nusantara saya lebih percaya produk angkatan darat,saya sih mending tunggu vaksin nusantara saya lebih percaya produk angkat darat,1.0,0.0
133,alasan lain ga mau vaksin karena covid ga ada atau covid cuma flu biasa heh ampas tahu badan orang bedabeda ngana kena covid bisa cuma flu biasa atau malah ga bergejala kalo yang komorbid tuh kayak udah ditungguin atau malah emang sampe dijemput malaikat izroil,alas lain enggak mau vaksin karena covid enggak ada atau covid cuma flu biasa heh ampas tahu badan orang bedabeda ngana kena covid bisa cuma flu biasa atau malah enggak gejala kalo yang komorbid tuh kayak sudah ditungguin atau malah memang sampai jemput malaikat izroil,1.0,1.0
135,plis banget ini mah gue pengen cepet cepet vaksin aja lahhh,plis banget ini mah gue pengin cepat cepat vaksin saja lah,1.0,1.0
136,dukungan antisipasi dan partisipasi orangtua dokter nakes anak panitia vaksin anak dalam menghadirkan vaksin ramah anak perlu diupayakan seoptimal mungkin,dukung antisipasi dan partisipasi orangtua dokter nakes anak panitia vaksin anak dalam hadir vaksin ramah anak perlu upaya optimal mungkin,1.0,0.0
137,info yang belum melaksanakan vaksin silahkan datang syarat nya hanya membawa ktp ktp manapun hari rabu tanggal juni jam wib sd selesai lokasi balai prajurit lantamal v surabaya balai prajurit lantamal v,info yang belum laksana vaksin sila datang syarat nya hanya bawa ktp ktp mana hari rabu tanggal juni jam wib sd selesai lokasi balai prajurit lantamal v surabaya balai prajurit lantamal v,0.0,0.0
138,eniweeeiii aku vaksin hari ini sih ayok lets get vaccinated,eniweeeiii aku vaksin hari ini sih ayok lets get vaccinated,0.0,1.0
140,ayoo kita semua vaksin kovidnyatabukankonspirasi,ayo kita semua vaksin kovidnyatabukankonspirasi,0.0,1.0
141,banyak orang bebal dan minim edukasi tentang pentingnya vaksin serta tidak percaya covid segera luluskan mahasiswa pendidikan biologi,banyak orang bebal dan minim edukasi tentang penting vaksin serta tidak percaya covid segera lulus mahasiswa didik biologi,1.0,0.0
142,kalo setelah di vaksin boleh sekolah ayo,kalo telah di vaksin boleh sekolah ayo,1.0,1.0
143,pah gue kemarin muk vaksin katanya harus keatas gboleh pas,pah gue kemarin muk vaksin kata harus atas gboleh pas,0.0,0.0
144,bhabinkamtibmas melakukan pengamanan dan memonitor masyarakat disuntik vaksin kei di balai desa kotagaluh,bhabinkamtibmas laku aman dan monitor masyarakat suntik vaksin kei di balai desa kotagaluh,0.0,0.0
145,taat prokes indonesiasehat indonesiamaju vaksin masker sehat,taat prokes indonesiasehat indonesiamaju vaksin masker sehat,0.0,0.0
146,selamat pagi hari ini aku mau vaksin,selamat pagi hari ini aku mau vaksin,0.0,1.0
147,krn mslh vaksinasi kemarin bkn korupsi vaksinnya dh ada salah salahnya pemerintah mempersulit prosedur dgn syarat domisili dll minim harmonisasi aturan antar kementerian salahnya masyarakat resisten dgn vaksin g patuh prokes mau denial masyarakat bener terus,karena masalah vaksinasi kemarin bukan korupsi vaksin dah ada salah salah perintah sulit prosedur dengan syarat domisili dll minim harmonisasi atur antar menteri salah masyarakat resisten dengan vaksin enggak patuh prokes mau denial masyarakat benar terus,1.0,0.0
148,udah tutup mas itu kemaren rsup solo sama rso juga buka sejam kemudian nutup cepet banget penuhnya kalo beneran mau vaksin idupin notif ig rsup klaten rsup solo rso sama poltekkes tiap ada postingan buka selainbitu cek tiap jam juga,sudah tutup mas itu kemarin rsup solo sama rso juga buka jam kemudian nutup cepat banget penuh kalo benar mau vaksin idupin notif ig rsup klaten rsup solo rso sama poltekkes tiap ada postingan buka selainbitu cek tiap jam juga,0.0,0.0
150,yang belum melaksanakan vaksin silahkan datang syarat nya hanya membawa ktp ktp manapun hari rabu tanggal juni jam wib sd selesai lokasi balai prajurit lantamal v surabaya balai prajurit lantamal v,yang belum laksana vaksin sila datang syarat nya hanya bawa ktp ktp mana hari rabu tanggal juni jam wib sd selesai lokasi balai prajurit lantamal v surabaya balai prajurit lantamal v,0.0,0.0
